GroupLevel,subId,name
1,1,"Thu thập hoa - Hãy tìm những bông hoa đẹp để trang trí cho lễ hội."
1,2,"Thu thập hoa - Hoa đỏ sẽ mang lại may mắn cho lễ hội."
1,3,"Thu thập hoa - Cần nhiều hoa để có thể hoàn thành các vòng hoa."
1,4,"Thu thập hoa - Những bông hoa tím sẽ thêm phần lộng lẫy cho lễ hội."
1,5,"Thu thập hoa - Đừng quên tìm hoa trắng, chúng là biểu tượng của sự thuần khiết."
2,1,"Thắt ruy băng - Hãy bắt đầu bằng việc chọn những ruy băng đẹp nhất."
2,2,"Thắt ruy băng - Ruy băng đỏ sẽ tượng trưng cho sự may mắn và thịnh vượng."
2,3,"Thắt ruy băng - Kết các sợi ruy băng này quanh những vòng hoa."
2,4,"Thắt ruy băng - Màu vàng của ruy băng sẽ làm nổi bật vòng hoa của bạn."
2,5,"Thắt ruy băng - Hãy chắc chắn rằng ruy băng được buộc chặt để không bị bung ra."
3,1,"Nhặt gỗ đốt lửa trại - Hãy bắt đầu thu thập gỗ khô để chuẩn bị đốt lửa."
3,2,"Nhặt gỗ đốt lửa trại - Cần gỗ lớn để tạo ra một ngọn lửa thật sự mạnh mẽ."
3,3,"Nhặt gỗ đốt lửa trại - Cẩn thận khi nhặt gỗ, tránh bị gai đâm vào tay."
3,4,"Nhặt gỗ đốt lửa trại - Những thanh gỗ này sẽ giúp chúng ta có một đêm lửa trại ấm cúng."
3,5,"Nhặt gỗ đốt lửa trại - Đừng quên mang gỗ vào khu vực đốt lửa để chuẩn bị cho buổi tối."
4,1,"Kết Vòng Hoa May Mắn - Dùng hoa đỏ để kết thành những vòng hoa may mắn."
4,2,"Kết Vòng Hoa May Mắn - Vòng hoa của bạn cần phải đều đặn và chắc chắn."
4,3,"Kết Vòng Hoa May Mắn - Hãy kết vòng hoa thật cẩn thận để mang lại may mắn cho những người tham gia."
4,4,"Kết Vòng Hoa May Mắn - Bạn có thể thêm chút ruy băng vào để trang trí cho vòng hoa."
4,5,"Kết Vòng Hoa May Mắn - Mỗi vòng hoa sẽ được trao cho một cư dân tham gia lễ hội."
5,1,"Kết Hoa Đăng - Dùng hoa trắng để kết thành những hoa đăng tuyệt đẹp."
5,2,"Kết Hoa Đăng - Hoa đăng sẽ được thả xuống sông vào đêm lễ hội."
5,3,"Kết Hoa Đăng - Hãy chắc chắn rằng hoa đăng của bạn không bị ngập nước."
5,4,"Kết Hoa Đăng - Chúng ta sẽ thả những hoa đăng này để cầu nguyện cho mùa màng tốt tươi."
5,5,"Kết Hoa Đăng - Đừng quên thêm nến vào trong hoa đăng để tạo ánh sáng lung linh trên dòng sông."
